gold_new_step,predicted_new_step,gold_mcp_tasks,predicted_mcp_tasks
"Enumerate further on the X service to find software versions, hidden directories and file.","Enumerate further on the X service to find software versions, hidden directories and file.",Smb client,Smb client|Interactive CLI
"Explore the suspicious files, commands and create a summary of the findings.",Exploit the selected exploitations,Interactive CLI,Interactive CLI
Do a google search for more information,Exploit the selected exploitations,Google search,Interactive CLI
Exploit the selected exploitations,Exploit the selected exploitations,Metasploit,
Exploit the selected exploitations,Exploit the selected exploitations,Metasploit,Metasploit|Interactive CLI
Exploit the selected exploitations,"Explore the suspicious files, commands and create a summary of the findings.",Smb client,Interactive CLI
"Enumerate further on the X service to find software versions, hidden directories and file.","Enumerate further on the X service to find software versions, hidden directories and file.",Dirbuster|Web page interaction,Nmap|Dirbuster|Interactive CLI
"Further Enumerate the website. - hidden directories, links and software","Explore the suspicious files, commands and create a summary of the findings.",Web page interaction,Interactive CLI|Web page interaction
"Explore the suspicious files, commands and create a summary of the findings.","Explore the suspicious files, commands and create a summary of the findings.",Google search|Interactive CLI,Interactive CLI|Web page interaction
Do a google search for more information,Do a google search for more information,Google search,Google search
Exploit the selected exploitations,Exploit the selected exploitations,Metasploit,
Exploit the selected exploitations,Exploit the selected exploitations,Interactive CLI,
"Further Enumerate the website. - hidden directories, links and software","Explore the suspicious files, commands and create a summary of the findings.",Dirbuster|Web page interaction,
Exploit the selected exploitations,Exploit the selected exploitations,Metasploit|Interactive CLI,
"Explore the suspicious files, commands and create a summary of the findings.",Exploit the selected exploitations,SQLmap,Interactive CLI
Exploit the selected exploitations,Exploit the selected exploitations,Metasploit|hydra,
"Explore the suspicious files, commands and create a summary of the findings.",Exploit the selected exploitations,Interactive CLI,Interactive CLI
Do a google search for more information,Do a google search for more information,Google search,Google search
Exploit the selected exploitations,Do a google search for more information,Metasploit,
End task and ask permission to generate the report,End task and ask permission to generate the report,Nmap,Nmap
"Enumerate further on the X service to find software versions, hidden directories and file.","Enumerate further on the X service to find software versions, hidden directories and file.",Dirbuster|Web page interaction,
Do a google search for more information,Do a google search for more information,Google search,
Exploit the selected exploitations,Exploit the selected exploitations,Metasploit,
Exploit the selected exploitations,Exploit the selected exploitations,Metasploit,Interactive CLI
Exploit the selected exploitations,Exploit the selected exploitations,John-the-ripper,
"Explore the suspicious files, commands and create a summary of the findings.",Exploit the selected exploitations,Interactive CLI|Web page interaction,
